"Name","Allegiances","Death Year","Book of Death","Death Chapter","Book Intro Chapter","Gender","Nobility","GoT","CoK","SoS","FfC","DwD"
"Aegon Frey (Jinglebell)","None","299","3","51","49","1","1","0","0","1","0","0"
"Adrack Humble","House Greyjoy","300","5","20","20","1","1","0","0","0","0","1"
"Aemon Targaryen (son of Maekar I)","Night's Watch","300","4","35","21","1","1","1","0","1","1","0"
"Aenys Frey","None","300","5","","59","0","1","1","1","1","0","1"
"Aggar","House Greyjoy","299","2","56","50","1","0","0","1","0","0","0"
"Alan of Rosby","Night's Watch","300","5","4","18","1","1","0","1","1","0","1"
"Alebelly","House Stark","299","2","46","4","1","0","0","1","0","0","0"
"Alester Florent","Baratheon","300","4","","36","1","1","0","1","1","0","0"
"Allard Seaworth","Baratheon","299","2","10","10","1","1","0","1","0","0","0"
"Alyn","House Stark","298","3","34","12","1","0","1","0","0","0","0"
"Amory Lorch","House Lannister","299","2","47","14","1","1","0","1","0","0","0"
"Anvil Ryn","None","299","3","34","34","1","0","0","0","1","0","0"
"Aron Santagar","Lannister","299","2","41","18","1","1","1","1","0","0","0"
"Arys Oakheart","Lannister","300","4","21","57","1","1","1","1","0","1","0"
"Bannen","Night's Watch","299","3","33","0","1","0","0","0","1","0","0"
"Barra","None","299","2","39","35","0","0","1","0","0","0","0"
"Barsena","None","300","5","52","11","0","0","0","0","0","0","1"
"Becca the Baker","None","299","3","34","34","0","0","0","0","1","0","0"
"Benfred Tallhart","Stark","299","2","37","16","1","1","0","1","0","0","0"
"Benfrey Frey","None","299","5","51","51","1","1","0","0","1","0","0"
"Benjen Stark","Night's Watch","298","1","24","5","1","1","1","0","0","0","0"
"Bennet","None","300","4","31","31","1","0","0","0","0","1","0"
"Beric Dondarrion","None","300","4","27","42","1","1","1","0","1","0","0"
"Biter","None","300","4","37","1","1","0","0","1","0","1","0"
"Brown Bernarr","Night's Watch","299","3","33","23","1","0","0","1","1","0","0"
"Bryan Fossoway","Baratheon","299","2","62","42","1","1","1","1","0","0","0"
"Bryce Caron","Baratheon","299","2","65","29","1","1","1","1","0","0","0"
"Bryen Farring","Baratheon","300","5","62","10","1","1","0","1","0","0","1"
"Burton Crakehall","Lannister","299","2","7","55","1","1","1","1","0","0","0"
"Byam Flint","Night's Watch","299","3","33","33","1","0","0","0","1","0","0"
"Catelyn Tully","House Stark","299","3","51","2","0","1","1","1","1","0","0"
"Cayn","House Stark","298","1","49","4","1","0","1","0","0","0","0"
"Chayle","Stark","299","2","50","9","1","0","1","1","0","0","0"
"Chett","Night's Watch","299","3","46","41","1","0","1","1","1","0","0"
"Chiggen","Lannister","298","1","42","31","1","0","1","0","0","0","0"
"Chiswyck","None","299","2","30","26","1","0","0","1","0","0","0"
"Cleos Frey","None","299","3","21","7","1","1","0","1","1","0","0"
"Cley Cerwyn","Stark","299","2","66","16","1","1","0","1","0","0","0"
"Clubfoot Karl","Night's Watch","300","5","4","0","1","0","0","0","1","0","1"
"Cohollo","None","298","1","64","11","1","0","1","0","0","0","0"
"Conn","Lannister","298","1","62","42","1","0","1","0","0","0","0"
"Cortnay Penrose","Baratheon","299","2","42","31","1","1","0","1","0","0","0"
"Cragorn","House Greyjoy","300","4","29","19","1","0","0","0","0","1","0"
"Craster","None","299","3","33","23","1","0","0","1","1","0","0"
"Cressen","Baratheon","299","1","0","0","1","0","0","1","0","0","0"
"Dacey Mormont","Stark","299","3","51","63","0","1","1","0","1","0","0"
"Dagon Codd","Greyjoy","300","5","20","20","1","1","0","0","0","0","1"
"Dalbridge","Night's Watch","299","2","53","43","1","0","0","1","0","0","0"
"Dale Seaworth","Baratheon","299","2","58","10","1","1","0","1","0","0","0"
"Dalla","Wildling","300","3","76","73","0","1","0","0","1","0","0"
"Dareon","Night's Watch","300","4","34","19","1","0","1","0","0","1","0"
"Daryn Hornwood","Stark","298","1","63","63","1","1","1","0","0","0","0"
"Del","Wildling","299","3","41","41","1","0","0","0","1","0","0"
"Delp","House Tully","299","3","20","39","1","0","0","1","1","0","0"
"Desmond","House Stark","298","1","50","1","1","0","1","0","0","0","0"
"Dick Crabb","None","300","4","20","9","1","0","0","0","0","1","0"
"Dick Follard","Night's Watch","299","3","55","41","1","0","0","0","1","0","0"
"Dirk","Night's Watch","300","5","4","0","1","0","0","0","1","0","1"
"Dobber","None","299","2","14","5","1","0","0","1","0","0","0"
"Donal Noye","Night's Watch","300","3","64","19","1","0","1","1","1","0","0"
"Donella Hornwood","Stark","299","2","35","16","0","1","0","1","0","0","0"
"Donnel Locke","Stark","299","3","51","25","1","1","0","1","1","0","0"
"Dontos Hollard","None","300","3","61","57","1","1","1","1","1","0","0"
"Doreah","House Targaryen","299","2","12","11","0","0","1","1","0","0","0"
"Dornish Dilly","Night's Watch","299","3","55","55","1","0","0","0","1","0","0"
"Drennan","House Greyjoy","299","2","50","50","1","0","0","1","0","0","0"
"Drogo","Targaryen","298","1","64","3","1","1","1","0","0","0","0"
"Dudley","Stark","299","3","34","34","1","0","0","0","1","0","0"
"Dykk Harlaw","Greyjoy","299","2","66","66","1","0","0","1","0","0","0"
"Easy","Night's Watch","300","3","55","55","1","0","0","0","1","0","0"
"Ebben","Night's Watch","299","2","68","43","1","0","0","1","0","0","0"
"Eddard Karstark","Stark","298","1","63","53","1","1","1","0","0","0","0"
"Eddard Stark","House Stark","299","1","65","1","1","1","1","0","0","0","0"
"Emmon Cuy","Baratheon","299","2","42","33","1","1","0","1","0","0","0"
"Elwood","House Tully","299","3","20","20","1","0","0","0","1","0","0"
"Endrew Tarth","Night's Watch","299","3","69","60","1","0","1","0","1","0","0"
"Eon Hunter","Arryn","300","3","80","38","1","1","1","0","1","0","0"
"Eroeh","Targaryen","298","1","68","61","1","0","1","0","0","0","0"
"Falyse Stokeworth","Lannister","300","5","36","2","0","1","0","1","0","1","0"
"Farlen","House Stark","299","2","56","46","1","0","0","1","0","0","0"
"Fletcher Will","None","299","3","34","34","1","0","0","0","1","0","0"
"Fogo","None","298","1","61","46","1","1","1","0","0","0","0"
"Frenya","Wildling","300","5","69","37","0","0","0","0","0","0","1"
"Gared","Night's Watch","297","1","1","0","1","0","1","0","0","0","0"
"Garse Goodbrook","None","299","3","","","1","1","0","0","1","0","0"
"Garth Greyfeather","Night's Watch","300","5","31","48","1","0","0","0","1","0","1"
"Garth of Greenaway","Night's Watch","300","5","4","33","1","0","0","0","1","0","1"
"Garth of Oldtown","Night's Watch","299","3","33","33","1","0","0","0","1","0","0"
"Gelmarr","House Greyjoy","299","2","56","50","1","0","0","1","0","0","0"
"Gerren","None","299","2","19","14","1","0","0","1","0","0","0"
"Gevin Harlaw","Greyjoy","299","2","66","37","1","1","0","1","0","0","0"
"Gladden Wylde","Stark","298","1","55","43","1","1","1","0","0","0","0"
"Grazdan","None","299","3","27","27","1","1","0","0","1","0","0"
"Grazdan mo Ullhor","None","299","3","27","27","1","1","0","0","1","0","0"
"Gregor Clegane","Lannister","300","4","72","29","1","1","1","1","1","0","0"
"Groleo","House Targaryen","300","5","59","","1","0","0","0","1","0","1"
"Grubbs","Night's Watch","300","5","4","0","1","0","0","0","1","0","1"
"Guncer Sunglass","Baratheon","299","3","10","0","1","1","0","1","1","0","0"
"Guyard Morrigen","Baratheon","299","2","62","22","1","1","0","1","0","0","0"
"Gyles Rosby","Lannister","300","4","39","57","1","1","1","1","1","1","0"
"Gynir","House Greyjoy","299","2","56","50","1","0","0","1","0","0","0"
"Haggo","None","298","1","64","11","1","0","1","0","0","0","0"
"Hairy Hal","Night's Watch","300","5","31","55","1","0","0","0","1","1","1"
"Hake","Night's Watch","299","3","46","52","1","0","1","1","1","0","0"
"Hali","Wildling","298","1","37","37","0","0","1","0","0","0","0"
"Halys Hornwood","Stark","298","1","62","53","1","1","1","0","0","0","0"
"Hamish the Harper","None","300","5","43","32","1","0","0","0","1","1","0"
"Harghaz","None","300","5","70","52","1","0","0","0","0","0","1"
"Harma","Wildling","300","3","75","0","0","1","0","0","1","0","0"
"Harra","None","299","2","64","26","0","0","0","1","0","0","0"
"Harrag Sharp","Greyjoy","299","5","19","66","1","1","0","1","0","1","0"
"Harwood Fell","House Baratheon","300","5","42","17","1","1","0","0","0","0","1"
"Hazzea","None","300","5","11","11","0","0","0","0","0","0","1"
"Helman Tallhart","Stark","299","3","37","55","1","1","1","0","1","0","0"
"Heward","House Stark","298","1","35","35","1","0","1","0","0","0","0"
"Holly","Wildling","300","5","69","37","0","0","0","0","0","0","1"
"Hoster Tully","House Tully","299","3","35","71","1","1","1","1","1","0","0"
"Hubard Rambton","Baratheon","299","5","10","10","1","1","0","1","0","0","0"
"Hugh","House Arryn","298","1","29","25","1","0","1","0","0","0","0"
"Hullen","House Stark","298","1","50","1","1","0","1","0","0","0","0"
"Hyle Hunt","None","300","4","42","14","1","1","0","0","0","1","0"
"Iggo","None","299","3","3","3","1","0","0","0","1","0","0"
"Imry Florent","Baratheon","299","3","4","58","1","1","0","1","1","0","0"
"Jacelyn Bywater","Lannister","299","2","19","8","0","1","0","1","0","0","0"
"Jack Bulwer","Night's Watch","300","5","31","64","1","0","0","0","1","1","1"
"Janos Slynt","None","300","5","7","27","1","1","1","1","1","0","1"
"Jared Frey","None","300","5","37","59","1","1","1","1","0","0","1"
"Jaremy Rykker","Night's Watch","298","5","60","21","1","1","1","0","0","0","0"
"Jarl","Wildling","299","3","26","7","1","0","0","0","1","0","0"
"Jarman Buckwell","Night's Watch","300","5","21","13","1","0","0","1","0","0","1"
"Jate","House Lannister","","4","44","44","1","0","0","0","0","1","0"
"Jate Blackberry","House Baratheon","","3","10","10","1","0","0","0","1","0","0"
"Jeor Mormont","Night's Watch","299","3","33","48","1","1","1","1","1","0","0"
"Joffrey Baratheon","House Lannister","300","3","60","5","1","1","1","1","1","0","0"
"Jon Umber (Smalljon)","Stark","299","3","51","63","1","1","1","0","1","0","0"
"Jory Cassel","Stark","298","1","35","1","1","1","1","0","0","0","0"
"Jyck","House Lannister","298","1","31","21","1","0","1","0","0","0","0"
"Kenned","House Greyjoy","299","2","66","66","1","0","0","1","0","0","0"
"Kerwin","House Tyrell","300","5","56","29","1","0","0","0","0","1","1"
"Kevan Lannister","House Lannister","300","5","","56","1","1","1","1","1","1","1"
"Khrazz","None","300","5","67","11","1","0","0","0","0","0","1"
"Koss","Night's Watch","299","2","14","5","1","0","0","1","0","0","0"
"Kraznys mo Nakloz","None","299","3","27","23","1","1","0","0","1","0","0"
"Kromm","House Greyjoy","299","2","66","56","1","0","0","1","0","0","0"
"Kurleket","None","298","1","31","31","1","0","1","0","0","0","0"
"Kurz","Night's Watch","299","2","19","5","1","0","0","1","0","0","0"
"Kyle (Banners)","None","299","3","39","39","1","0","0","0","1","0","0"
"Kyra","House Stark","300","5","12","37","0","0","1","1","0","0","1"
"Lark","Night's Watch","299","3","46","23","1","0","0","1","1","0","0"
"Leo Lefford","Lannister","299","2","45","62","1","1","1","1","0","0","0"
"Leobald Tallhart","Stark","299","2","66","16","1","1","0","1","0","0","0"
"Lharys","Stark","298","1","34","31","1","1","1","0","0","0","0"
"Little Walder Frey","None","300","5","51","59","1","1","1","1","0","0","1"
"Lommy","Night's Watch","299","2","19","1","1","0","0","1","0","0","0"
"Lord of Bones","Wildling","300","5","10","68","1","1","0","1","1","0","1"
"Lorren","Greyjoy","299","2","66","37","1","0","0","1","0","0","0"
"Lucan","None","299","2","64","38","1","0","0","1","0","0","0"
"Lucas Blackwood","Tully","299","3","51","22","1","1","0","1","1","0","0"
"Luton","None","300","5","51","37","1","0","0","0","0","0","1"
"Luwin","House Stark","299","2","69","14","1","0","1","1","0","0","0"
"Lyman Darry","Tully","299","3","7","71","1","1","1","1","0","0","0"
"Lysa Tully","House Arryn","300","3","","34","0","1","1","0","1","0","0"
"Maerie (Goodwife)","None","299","3","34","34","0","0","0","0","1","0","0"
"Maerie (Whore)","None","299","3","34","34","0","0","0","0","1","0","0"
"Mag Mar Tun Doh Weg","Wildling","300","3","64","15","1","1","0","0","1","0","0"
"Mallador Locke","Night's Watch","299","5","18","13","1","0","0","1","1","0","0"
"Mandon Moore","Baratheon","299","2","61","51","1","1","1","1","0","0","0"
"Maric Seaworth","House Baratheon","299","2","58","10","1","1","0","1","0","0","0"
"Marillion","Arryn","300","4","23","28","1","0","1","0","1","1","0"
"Masha Heddle","Tully","298","1","56","28","0","0","1","0","0","0","0"
"Maslyn","Night's Watch","299","3","18","0","1","0","0","0","1","0","0"
"Matthos Seaworth","Baratheon","299","2","58","10","1","1","0","1","0","0","0"
"Mawney","Night's Watch","300","5","4","18","1","0","0","0","1","0","1"
"Medger Cerwyn","Stark","299","2","30","53","1","1","1","1","0","0","0"
"Mero","None","299","3","57","42","1","0","0","0","1","0","0"
"Merrett Frey","None","300","3","","59","1","1","1","0","1","0","0"
"Mikken","House Stark","299","2","46","8","1","0","1","1","0","0","0"
"Mirri Maz Duur","None","299","1","72","61","0","0","1","0","0","0","0"
"Mohor","None","298","1","31","31","1","1","1","0","0","0","0"
"Monford Velaryon","Baratheon","299","3","25","0","1","1","0","1","0","0","0"
"Mordane","House Stark","298","1","67","7","0","0","1","0","0","0","0"
"Morrec","House Lannister","298","1","31","13","1","0","1","0","0","0","0"
"Mudge (miller)","None","299","3","34","34","1","0","0","0","1","0","0"
"Mossador","House Targaryen","300","5","11","11","1","0","0","0","1","0","1"
"Muttering Bill","Night's Watch","300","5","4","","1","0","0","0","1","0","1"
"Mycah","Stark","298","1","16","15","1","0","1","0","0","0","0"
"Myrtle","Wildling","300","5","69","37","0","0","0","0","0","0","1"
"Myles","House Tully","299","2","39","39","1","0","0","1","0","0","0"
"Nolla","None","299","3","34","34","0","0","0","0","1","0","0"
"Nurse","None","300","5","57","57","1","0","0","0","0","0","1"
"Oberyn Martell","House Martell","300","3","70","38","1","1","0","0","1","0","0"
"Ogo","None","298","1","61","46","1","1","1","0","0","0","0"
"Old Henly","Night's Watch","299","3","55","55","1","0","0","0","1","0","0"
"Ollo Lophand","Night's Watch","300","5","4","0","1","0","0","0","1","0","1"
"Oppo","None","300","4","17","60","1","0","0","0","1","1","0"
"Orell","Wildling","299","2","51","51","1","0","0","1","0","0","0"
"Orphan Oss","Night's Watch","300","5","4","","1","0","0","0","1","0","1"
"Ottyn Wythers","Night's Watch","299","3","48","13","1","0","0","1","1","0","0"
"Owen Norrey","Tully","299","3","51","51","1","1","0","0","1","0","0"
"Oznak zo Pahl","None","299","3","57","57","1","1","0","0","1","0","0"
"Pate (novice)","None","300","4","0","0","1","0","0","0","0","1","0"
"Pate (Lancewood)","None","299","3","34","34","1","0","0","0","1","0","0"
"Patrek of King's Mountain","Baratheon","300","5","69","44","1","1","0","0","0","0","1"
"Petyr Frey","None","300","3","","49","1","1","0","0","1","0","0"
"Polliver","None","300","3","27","26","1","0","0","1","1","0","0"
"Porther","House Stark","299","2","21","22","1","0","1","1","0","0","0"
"Poul Pemford","House Tully","299","2","39","39","1","0","0","1","0","0","0"
"Poxy Tym","House Stark","299","2","69","16","1","0","0","1","0","0","0"
"Praed","None","299","2","9","5","1","0","0","1","0","0","0"
"Prendahl na Ghezn","None","299","3","42","42","1","0","0","0","1","0","0"
"Preston Greenfield","Baratheon","299","2","41","43","1","0","1","1","0","0","0"
"Pycelle","House Lannister","300","5","","20","1","0","1","1","1","1","1"
"Pyg","None","300","4","20","20","1","0","0","0","1","1","0"
"Qhorin Halfhand","Night's Watch","299","2","68","43","1","0","0","1","0","0","0"
"Qotho","None","298","1","61","11","1","0","1","0","0","0","0"
"Quaro","Targaryen","298","1","64","50","1","0","1","0","0","0","0"
"Quentyn Martell","Martell","300","5","70","6","1","1","0","0","0","0","1"
"Quort","Wildling","299","3","55","41","1","0","0","0","1","0","0"
"Qyle","Night's Watch","299","2","2","2","1","0","0","1","0","0","0"
"Ralf Kenning","Greyjoy","300","5","20","18","1","0","0","0","0","1","1"
"Randa","None","299","3","34","34","0","0","0","0","1","0","0"
"Rast","Night's Watch","299","3","26","55","1","0","1","0","1","0","0"
"Raymun Darry","Targaryen","298","1","55","16","1","1","1","0","0","0","0"
"Raynald Westerling","Stark","299","3","44","14","1","1","0","0","1","1","0"
"Red Alyn","Night's Watch","300","3","69","55","1","0","0","0","1","0","0"
"Red Rolfe","House Greyjoy","299","2","66","66","1","0","0","1","0","0","0"
"Reek","None","299","2","35","16","1","0","0","1","0","0","0"
"Renly Baratheon","House Baratheon","299","2","33","15","1","1","1","1","0","0","0"
"Rhaegar Frey","None","300","5","29","19","1","1","0","0","0","0","1"
"Rickard Karstark","Stark","299","3","20","53","1","1","1","1","1","0","0"
"Robar Royce","Baratheon","299","2","6","29","1","1","1","1","1","0","0"
"Robb Stark","House Stark","299","3","51","1","1","1","1","1","1","0","0"
"Robert Baratheon","House Baratheon","298","1","47","4","1","1","1","0","0","0","0"
"Robin Flint","Stark","299","3","51","63","1","1","1","1","1","0","0"
"Rodrik Cassel","Stark","299","2","66","7","1","1","1","1","0","0","0"
"Rolfe the Dwarf","House Greyjoy","300","5","26","26","1","0","0","0","0","0","1"
"Rolley","Night's Watch","299","3","33","0","1","0","0","0","1","0","0"
"Rorge","None","300","4","37","1","1","0","0","1","1","1","0"
"Rowan","Wildling","300","5","69","37","1","0","0","0","0","0","1"
"Rupert Brax","House Lannister","299","2","32","32","1","0","0","1","0","0","0"
"Ryman Frey","None","300","4","44","14","1","1","0","0","1","1","0"
"Sallor","None","299","3","42","42","1","0","0","0","1","0","0"
"Sandor Clegane","None","300","4","31","7","1","1","1","1","1","1","0"
"Sawane Botley","Greyjoy","299","4","18","1","1","1","0","0","0","1","0"
"Senelle","House Lannister","300","4","24","3","0","0","0","0","0","1","0"
"Shae","Lannister","300","3","77","62","0","0","1","1","1","0","0"
"Shagwell","None","300","4","20","30","1","0","0","1","1","1","0"
"Shyra Errol","Baratheon","300","4","","42","0","1","0","1","0","0","0"
"Small Paul","Night's Watch","299","3","18","0","1","0","0","0","1","0","0"
"Softfoot","Night's Watch","299","3","18","0","1","0","0","0","1","0","0"
"Spotted Pate of Maidenpool","Night's Watch","299","3","55","0","1","0","0","0","1","0","0"
"Squint","House Greyjoy","299","2","50","50","1","0","0","1","0","0","0"
"Squirrel","Wildling","300","5","69","37","0","0","0","0","0","0","1"
"Stalwart Shield","Targaryen","300","5","2","2","1","0","0","0","0","0","1"
"Stevron Frey","Stark","299","2","35","59","1","1","1","1","0","0","0"
"Stiv","Wildling","298","1","37","37","1","0","1","0","0","0","0"
"Stone Thumbs","Wildling","299","3","55","41","1","0","0","0","1","0","0"
"Styr","Wildling","300","3","26","7","1","1","0","0","1","0","0"
"Symon Silver Tongue","Lannister","299","3","32","44","1","0","0","1","1","0","0"
"Symond Frey","None","300","5","29","19","1","1","0","0","0","0","1"
"Syrio Forel","House Stark","298","1","50","22","1","0","1","0","0","0","0"
"Tanda Stokeworth","Lannister","300","4","32","2","0","1","0","1","1","0","0"
"Thistle","Wildling","300","5","0","0","0","0","0","0","0","0","1"
"Thoren Smallwood","Night's Watch","299","3","18","6","1","1","0","1","1","0","0"
"Tickler","Lannister","300","3","74","26","1","0","0","1","1","0","0"
"Timeon","None","300","4","20","21","1","0","0","0","1","1","0"
"Tion Frey","Lannister","299","3","20","20","0","1","0","0","1","0","0"
"Todric","Greyjoy","299","2","37","37","1","0","0","1","0","0","0"
"Tomard","House Stark","298","1","49","22","1","0","1","0","0","0","0"
"Torrhen Karstark","Stark","298","1","63","53","1","1","1","0","0","0","0"
"Tothmure","Lannister","299","2","64","30","1","0","0","1","0","0","0"
"Tregar","House Lannister","298","1","39","35","1","0","1","0","0","0","0"
"Tymor","House Greyjoy","299","2","66","37","1","0","0","1","0","0","0"
"Tyrek Lannister","House Lannister","299","2","41","30","1","1","1","1","0","0","0"
"Tytos Frey","None","299","3","","","1","1","0","0","1","0","0"
"Tywin Lannister","House Lannister","300","3","77","42","1","1","1","1","1","0","0"
"Ulf son of Umar","Lannister","298","1","62","56","1","0","1","0","0","0","0"
"Ulf the Ill","House Greyjoy","299","2","66","66","1","0","0","1","0","0","0"
"Urreg","Night's Watch","299","2","19","14","1","0","0","1","0","0","0"
"Utt","None","299","3","39","30","1","0","0","1","1","0","0"
"Varamyr","Wildling","300","5","0","15","1","0","0","0","1","0","1"
"Vardis Egen","Arryn","298","1","40","34","1","0","1","0","0","0","0"
"Vargo Hoat","None","300","3","20","30","1","0","0","1","1","0","0"
"Vayon Poole","Stark","298","1","21","7","1","0","1","1","0","0","0"
"Viserys Targaryen","House Targaryen","298","1","46","3","1","1","1","0","0","0","0"
"Wallen","Wildling","298","1","37","37","1","0","1","0","0","0","0"
"Watt","Night's Watch","299","3","75","69","1","0","0","0","1","0","0"
"Waymar Royce","Night's Watch","297","1","0","0","1","1","1","0","0","0","0"
"Weese","Lannister","299","2","38","26","1","0","0","1","0","0","0"
"Wendel Manderly","Stark","299","3","51","55","1","1","1","1","1","0","0"
"Werlag","House Greyjoy","299","2","66","37","1","0","0","1","0","0","0"
"Wilbert","Stark","298","3","29","29","1","0","0","0","1","0","0"
"Will","Night's Watch","297","1","0","0","1","0","1","0","0","0","0"
"Willam Wells","Martell","300","5","6","6","1","0","0","0","0","0","1"
"Willem Lannister","House Lannister","299","3","20","19","1","1","0","0","1","0","0"
"Willow Witch-eye","Wildling","300","5","69","37","0","0","0","0","0","0","1"
"Woth","Night's Watch","299","2","14","14","1","0","0","1","0","0","0"
"Wyl (guard)","House Stark","298","1","35","35","1","0","1","0","0","0","0"
"Wyl the Whittler","None","299","3","34","34","1","0","0","0","1","0","0"
"Yellow Dick","None","300","5","46","12","1","0","0","0","0","0","1"
"Ygritte","Wildling","299","3","55","51","0","0","0","1","1","0","0"
"Yoren","Night's Watch","299","2","19","13","1","0","1","1","0","0","0"
"Young Henly","Night's Watch","299","3","55","55","1","0","0","0","1","0","0"
"Yurkhaz zo Yunzak","None","300","5","59","47","1","0","0","0","0","0","1"
"Yezzan Zo Qaggaz","None","300","5","57","25","1","1","0","0","0","0","1"
"Torwynd the Tame","Wildling","300","5","73","73","1","0","0","0","1","0","0"
"Talbert Serry","Tyrell","300","4","29","29","1","1","0","0","0","1","0"
